index,Feature,Coefficient,Player
AAL,P_2_CONCENTRIC_IMPULSE,-0.019579740450811952,4
SPEEDMAX,P_2_CONCENTRIC_IMPULSE,0.005303264219883694,4
JUMPS,P_2_CONCENTRIC_IMPULSE,-0.017568260944561254,4
PHYSIOLOAD,P_2_CONCENTRIC_IMPULSE,-0.0160548041010041,4
EXERTIONS,P_2_CONCENTRIC_IMPULSE,0.008733092699644519,4
DISTANCE,P_2_CONCENTRIC_IMPULSE,-0.00799163495179335,4
AAL,ECCENTRIC_BRAKING_RFD,0.0,4
SPEEDMAX,ECCENTRIC_BRAKING_RFD,0.0,4
JUMPS,ECCENTRIC_BRAKING_RFD,0.0,4
PHYSIOLOAD,ECCENTRIC_BRAKING_RFD,0.0,4
EXERTIONS,ECCENTRIC_BRAKING_RFD,0.0,4
DISTANCE,ECCENTRIC_BRAKING_RFD,0.0,4
AAL,ECCENTRIC_BRAKING_RFD_BM,0.0,4
SPEEDMAX,ECCENTRIC_BRAKING_RFD_BM,0.0,4
JUMPS,ECCENTRIC_BRAKING_RFD_BM,0.0,4
PHYSIOLOAD,ECCENTRIC_BRAKING_RFD_BM,0.0,4
EXERTIONS,ECCENTRIC_BRAKING_RFD_BM,0.0,4
DISTANCE,ECCENTRIC_BRAKING_RFD_BM,0.0,4
AAL,CONCENTRIC_IMPULSE,0.0,4
SPEEDMAX,CONCENTRIC_IMPULSE,0.0,4
JUMPS,CONCENTRIC_IMPULSE,0.0,4
PHYSIOLOAD,CONCENTRIC_IMPULSE,0.0,4
EXERTIONS,CONCENTRIC_IMPULSE,0.0,4
DISTANCE,CONCENTRIC_IMPULSE,0.0,4
AAL,TIME,0.0,5
SPEEDMAX,TIME,0.0,5
JUMPS,TIME,0.0,5
PHYSIOLOAD,TIME,0.0,5
EXERTIONS,TIME,0.0,5
DISTANCE,TIME,0.0,5
AAL,COUNTERMOVEMENT_DEPTH,0.0,5
SPEEDMAX,COUNTERMOVEMENT_DEPTH,0.0,5
JUMPS,COUNTERMOVEMENT_DEPTH,0.0,5
PHYSIOLOAD,COUNTERMOVEMENT_DEPTH,0.0,5
EXERTIONS,COUNTERMOVEMENT_DEPTH,0.0,5
DISTANCE,COUNTERMOVEMENT_DEPTH,0.0,5
AAL,FLIGHT_TIME,0.0,5
SPEEDMAX,FLIGHT_TIME,0.0,5
JUMPS,FLIGHT_TIME,0.0,5
PHYSIOLOAD,FLIGHT_TIME,0.0,5
EXERTIONS,FLIGHT_TIME,0.0,5
DISTANCE,FLIGHT_TIME,0.0,5
AAL,JUMP_HEIGHT_IMP_DIS,0.0,5
SPEEDMAX,JUMP_HEIGHT_IMP_DIS,0.0,5
JUMPS,JUMP_HEIGHT_IMP_DIS,0.0,5
PHYSIOLOAD,JUMP_HEIGHT_IMP_DIS,0.0,5
EXERTIONS,JUMP_HEIGHT_IMP_DIS,0.0,5
DISTANCE,JUMP_HEIGHT_IMP_DIS,0.0,5
AAL,JUMP_HEIGHT_IMP_MOM,0.0,5
SPEEDMAX,JUMP_HEIGHT_IMP_MOM,0.0,5
